"KEY","First_Seen","Last_Seen","Current_Status","Previous_Status","Times_Reopened","Days_Active","Last_Updated"
"192.168.0.243|110378","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110376","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110373","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110370","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110369","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110368","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110366","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110364","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110361","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110359","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110355","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110352","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110350","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110348","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110345","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110344","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110343","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110341","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110340","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110339","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110338","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110337","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110336","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110325","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110322","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110320","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110319","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110317","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
